경대수,본인,▶ 토지(소계),전,경기도 안양시 만안구 안양동 466-25번지 19.00㎡ 중 9.50㎡,"4,607"
경대수,배우자,▶ 토지(소계),임야,"경기도 양평군 양서면 복포리 산 39-1번지 20,760.00㎡ 중 4,958.60㎡","150,000"
경대수,본인,▶ 건물(소계),아파트,서울특별시 강남구 압구정동 구현대아파트 건물 117.91㎡,"1,416,000"
경대수,본인,▶ 건물(소계),빌딩전세(임차)권,서울특별시 서초구 서초3동 한승아스트라 2 빌딩 건물 105.00㎡,"100,000"
경대수,본인,▶ 건물(소계),아파트전세(임차)권,충청북도 음성군 금왕읍 무극리 유수장미아파트 건물 59.34㎡,"10,000"
경대수,배우자,▶ 건물(소계),아파트전세(임차)권,서울특별시 강남구 압구정동 신현대아파트 건물 183.41㎡,"100,000"
경대수,본인,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2012년식 YF쏘나타 2.0(하이브리드) 배기량(1,999cc)","32,950"
경대수,본인,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2006년식 뉴에쿠스 배기량(4,500cc)","22,480"
경대수,본인,▶ 예금(소계),,"신한은행 47,703, 삼성생명보험 1,000, 국민은행 9,122, 케이디비생명보험 3,000, 하나은행 80,212, 삼성화재해상보험 1,318,LIG손해보험 1,228, 스탠다드차타드은행 3","143,586"
경대수,배우자,▶ 예금(소계),,"스탠다드차타드은행 13,773, LIG손해보험 550, 하나은행 41, 국민은행10, 삼성화재해상보험 422, 신한은행 8, 대한생명보험 25,400, 삼성생명보험 104,646, 우리은행 3,799, 라이나생명보험 3,382","152,031"
경대수,본인,▶ 채무(소계),금융기관채무,"신한은행 300,000, 우리은행 300,000, 하나은행 70,000","670,000"
경대수,본인,▶ 채무(소계),건물임대채무,서울특별시 강남구 압구정동 구현대아파트,"470,000"
경대수,배우자,▶ 채무(소계),금융기관채무,"스탠다드차타드은행 33,530","33,530"
고희선,본인,▶ 토지(소계),전,"경기도 안산시 상록구 사사동 386-2번지 2,288.00㎡","196,310"
고희선,본인,▶ 토지(소계),전,"경기도 안산시 상록구 사사동 387-1번지 1,379.00㎡","128,937"
고희선,본인,▶ 토지(소계),전,"경기도 용인시 기흥구 보라동 357-3번지 1,069.00㎡","535,569"
고희선,본인,▶ 토지(소계),전,"경기도 용인시 기흥구 보라동 372번지 3,650.00㎡","1,722,800"
고희선,본인,▶ 토지(소계),전,경기도 화성시 매송면 송라리 184-6번지 813.00㎡,"140,649"
고희선,본인,▶ 토지(소계),전,"전라남도 신안군 압해면 복용리 105-1번지 1,660.00㎡","16,534"
고희선,본인,▶ 토지(소계),전,전라남도 신안군 압해면 복용리 105-3번지 860.00㎡,"8,325"
고희선,본인,▶ 토지(소계),전,"전라남도 신안군 압해면 복용리 105-6번지 3,000.00㎡","29,040"
고희선,본인,▶ 토지(소계),전,"전라남도 신안군 압해면 복용리 106-1번지 1,734.00㎡","16,785"
고희선,본인,▶ 토지(소계),답,"경기도 안산시 상록구 사사동 385번지 4,661.00㎡","370,550"
고희선,본인,▶ 토지(소계),답,"경기도 안산시 상록구 사사동 386-1번지 3,448.00㎡","298,597"
고희선,본인,▶ 토지(소계),답,"경기도 안산시 상록구 사사동 388-1번지 7,008.00㎡","606,893"
고희선,본인,▶ 토지(소계),답,"경기도 안산시 상록구 사사동 388-2번지 2,043.00㎡","176,924"
고희선,본인,▶ 토지(소계),답,"경기도 안산시 상록구 사사동 388-3번지 2,357.00㎡","204,116"
고희선,본인,▶ 토지(소계),답,경기도 안산시 상록구 사사동 389번지 588.00㎡,"46,746"
고희선,본인,▶ 토지(소계),답,"경기도 안산시 상록구 사사동 390번지 2,866.00㎡","267,971"
고희선,본인,▶ 토지(소계),임야,경기도 화성시 매송면 송라리 184-7번지 619.00㎡,"56,639"
고희선,본인,▶ 토지(소계),임야,"경기도 화성시 매송면 송라리 184-8번지 1,600.00㎡","144,800"
고희선,본인,▶ 토지(소계),임야,경기도 화성시 매송면 송라리 184-14번지 108.00㎡,"11,988"
고희선,본인,▶ 토지(소계),임야,"경기도 화성시 매송면 송라리 산 36번지 2,479.00㎡","30,740"
고희선,본인,▶ 토지(소계),임야,"경기도 화성시 매송면 송라리 산 61-1번지 34,807.00㎡","553,431"
고희선,본인,▶ 토지(소계),임야,경기도 화성시 매송면 송라리 산 61-11번지 637.00㎡,"12,167"
고희선,본인,▶ 토지(소계),임야,경기도 화성시 매송면 야목리 산 27-1번지 893.30㎡,"14,382"
고희선,본인,▶ 토지(소계),도로,경기도 화성시 매송면 송라리 184-9번지 139.00㎡,"7,979"
고희선,본인,▶ 토지(소계),대지,경기도 안산시 상록구 사사동 447-11번지 199.00㎡,"103,480"
고희선,본인,▶ 토지(소계),대지,경기도 안산시 상록구 사사동 447-10번지 395.00㎡,"199,080"
고희선,본인,▶ 토지(소계),대지,경기도 안산시 상록구 사사동 447-9번지 130.00㎡,"66,170"
고희선,본인,▶ 토지(소계),대지,경기도 용인시 기흥구 보라동 546-1번지 131.00㎡,"28,951"
고희선,본인,▶ 토지(소계),대지,경기도 용인시 기흥구 보라동 358번지 625.00㎡,"405,000"
고희선,본인,▶ 토지(소계),대지,경기도 화성시 매송면 송라리 184-15번지 13.00㎡,"1,547"
고희선,본인,▶ 토지(소계),임야,"경기도 화성시 매송면 송라리 184-16번지 2,886.00㎡","46,465"
고희선,본인,▶ 토지(소계),임야,경기도 화성시 매송면 송라리 184-17번지 69.00㎡,"6,314"
고희선,본인,▶ 토지(소계),임야,경기도 화성시 매송면 송라리 18-18번지 767.00㎡,"12,349"
고희선,본인,▶ 토지(소계),전,강원도 평창군 대관령면 횡계리 245-38번지 285.00㎡,"13,253"
고희선,본인,▶ 토지(소계),전,강원도 평창군 대관령면 횡계리 245-39번지 293.00㎡,"13,625"
고희선,본인,▶ 토지(소계),전,강원도 평창군 대관령면 횡계리 245-40번지 180.00㎡,"8,370"
고희선,본인,▶ 토지(소계),전,"강원도 평창군 대관령면 횡계리 245-4번지 2,715.00㎡","126,248"
고희선,본인,▶ 토지(소계),전,"강원도 평창군 대관령면 횡계리 245-5번지 5,469.00㎡","254,309"
고희선,본인,▶ 토지(소계),전,"강원도 평창군 대관령면 횡계리 245-8번지 4,220.00㎡","196,230"
고희선,본인,▶ 토지(소계),전,강원도 평창군 대관령면 횡계리 245-9번지 707.00㎡,"32,876"
고희선,본인,▶ 토지(소계),전,강원도 평창군 대관령면 횡계리 245-10번지 783.00㎡,"36,410"
고희선,본인,▶ 토지(소계),전,"전라남도 신안군 압해면 복용리 105-2번지 2,160.00㎡","20,909"
고희선,본인,▶ 토지(소계),임야,"강원도 평창군 대관령면 횡계리 산 93-2번지 3,571.00㎡","12,070"
고희선,본인,▶ 토지(소계),임야,"강원도 평창군 대관령면 횡계리 산 93-3번지 2,971.00㎡","10,280"
고희선,본인,▶ 토지(소계),대지,경기도 안산시 상록구 사사동 447-34번지 91.00㎡,"45,864"
고희선,본인,▶ 토지(소계),대지,경기도 안산시 상록구 사사동 447-28번지 2.00㎡,"1,008"
고희선,본인,▶ 토지(소계),도로,경기도 용인시 기흥구 보라동 357-2번지 106.00㎡,"23,426"
고희선,본인,▶ 토지(소계),도로,경기도 수원시 장안구 정자동 7-34번지 13.00㎡,"3,003"
고희선,본인,▶ 토지(소계),답,전라남도 신안군 압해읍 복룡리 80-2번지 382.00㎡,"6,456"
고희선,본인,▶ 토지(소계),대지,경기도 안산시 상록구 사사동 387-2번지 674.00㎡,"313,410"
고희선,본인,▶ 토지(소계),대지,경기도 화성시 매송면 송라리 184-10번지 330.00㎡,"64,680"
고희선,배우자,▶ 토지(소계),임야,경기도 용인시 처인구 운학동 산 91-17번지 383.45㎡,"5,253"
고희선,배우자,▶ 토지(소계),임야,"경기도 여주군 점동면 관한리 산 1-65번지 285,469.00㎡","619,468"
고희선,본인,▶ 건물(소계),근린생활시설,경기도 안산시 상록구 사사동 대지 674.00㎡ 건물 163.30㎡,"11,156"
고희선,본인,▶ 건물(소계),단독주택,경기도 화성시 매송면 송라리 대지 330.00㎡ 건물 172.62㎡,"104,000"
고희선,배우자,▶ 건물(소계),아파트,경기도 수원시 영통구 망포동 동수원엘지빌리지1차 건물 168.43㎡,"416,000"
고희선,배우자,▶ 건물(소계),아파트,경기도 수원시 팔달구 우만동 현대아파트 건물 126.45㎡,"388,000"
고희선,본인,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2012년식 그랜드카니발 배기량(2,900cc)","31,150"
고희선,배우자,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2006년식 그랜저TG 배기량(3,342cc)","14,660"
고희선,사녀,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2007년식 아반떼XD 배기량(1,600cc)","9,190"
고희선,본인,▶ 예금(소계),,"신한은행 156, 외환은행 63, 삼성생명보험 13,366, 삼성증권 603,476, 씨티은행 3,368, 농협중앙회 76,153, 하나대투증권 1,114,726","1,811,308"
고희선,배우자,▶ 예금(소계),,"스탠다드차타드은행 545,661, 삼성화재해상보험 5,690, 농협중앙회5,000, 한화손해보험 7,920, 농협은행 5","564,276"
고희선,모,▶ 예금(소계),,"농협은행 40,000, 농협중앙회 105,590","145,590"
고희선,본인,▶ 유가증권(소계),상장주식,"농우바이오 7,900,000주","102,305,000"
고희선,본인,▶ 유가증권(소계),국채,국민주택1종03-10 1주,"57,341"
고희선,본인,▶ 유가증권(소계),비상장주식,"농업법인그린텍(주) 21,000주, 경인일보 5,627주, (주)농우그린텍194,000주, PT.KOREANA SEED INDONESIA 1주, 농우개발(주) 1,434,000주, 피피에스(주) 2,000주, 매송단위농협 1주","8,493,443"
고희선,배우자,▶ 유가증권(소계),상장주식,"농우바이오 50,000주","647,500"
고희선,배우자,▶ 유가증권(소계),비상장주식,"피피에스(주) 1,000주, 농우그린텍(주) 2,000주","15,000"
고희선,사녀,▶ 유가증권(소계),비상장주식,"피피에스 1,400주, 농우개발(주) 66,000주","337,000"
고희선,본인,▶ 채권(소계),,사인간채권,"2,620,000"
고희선,본인,▶ 회원권(소계),골프,양지파인리조트,"35,000"
고희선,본인,▶ 회원권(소계),골프,프라자,"43,000"
고희선,본인,▶ 회원권(소계),골프,비에이비스타컨트리클럽,"133,000"
고희선,본인,▶ 회원권(소계),골프,파인벨리,"67,000"
고희선,배우자,▶ 회원권(소계),골프,양지파인리조트,"35,000"
고희선,배우자,▶ 회원권(소계),골프,프라자,"43,000"
고희선,장남,▶ 고지거부 및 등록제외사항(소계),,고지거부,-
권은희,본인,▶ 토지(소계),잡종지,전라남도 무안군 운남면 연리 1532-101번지 892.00㎡,"6,395"
권은희,본인,▶ 토지(소계),답,전라남도 무안군 운남면 연리 1588-14번지 991.00㎡,"7,531"
권은희,본인,▶ 토지(소계),임야,경기도 여주군 산북면 백자리 산 6번지 775.00㎡,"5,122"
권은희,본인,▶ 건물(소계),아파트,경기도 용인시 수지구 죽전1동 벽산빌라트 건물 173.00㎡,"385,000"
권은희,본인,▶ 건물(소계),단독주택전세(임차)권,경기도 여주군 산북면 용담리 대지 552.00㎡ 건물 104.00㎡,"50,000"
권은희,본인,▶ 건물(소계),아파트전세(임차)권,대구광역시 북구 칠성동2가 칠성휴먼시아 건물 84.84㎡,"30,000"
권은희,배우자,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2005년식 소나타 배기량(1,998cc)","5,000"
권은희,본인,▶ 예금(소계),,"중소기업은행 386,044, 국민은행 7,267","393,311"
권은희,배우자,▶ 예금(소계),,"국민은행 3,000, 삼성생명보험 6,804, 미래에셋생명보험 14,508,미래에셋증권 24,400","48,712"
권은희,본인,▶ 유가증권(소계),상장주식,"엠텍비젼 585주, KTcs 470주, 온세텔레콤 63,012주, 케이티스 400주,다원시스 2,000주","41,515"
권은희,배우자,▶ 유가증권(소계),상장주식,"잼백스앤카엘 5,000주","181,000"
권은희,배우자,▶ 유가증권(소계),비상장주식,케이티 파워텔 132주,660
권은희,배우자,▶ 채무(소계),금융기관채무,"중소기업은행 17,339","17,339"
권은희,본인,▶ 회원권(소계),콘도미니엄,평창 동야루,"9,800"
권은희,본인,▶ 회원권(소계),골프,한라산 컨트리클럽,"7,278"
길정우,본인,▶ 토지(소계),임야,"경기도 안성시 삼죽면 내장리 산 77-1번지 16,959.00㎡","141,098"
길정우,본인,▶ 건물(소계),아파트전세(임차)권,서울특별시 양천구 목1동 목동7단지아파트 건물 66.10㎡,"60,000"
길정우,배우자,▶ 건물(소계),아파트,서울특별시 영등포구 대림3동 현대3차아파트 건물 184.80㎡,"465,000"
길정우,배우자,▶ 건물(소계),오피스텔,서울특별시 강남구 논현동 운현오피스텔 건물 43.29㎡,"107,878"
길정우,본인,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2010년식 그랜드카니발 리무진 배기량(2,200cc)","31,000"
길정우,배우자,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2002년식 에쿠스 배기량(3,500cc)","7,320"
길정우,배우자,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2012년식 레이 배기량(1,000cc)","14,863"
길정우,본인,▶ 예금(소계),,"삼성생명보험 25,407, 우리은행 3,190, 국민은행 6, 농협중앙회 10,한국산업은행 120,000, 하나은행 15,910, 삼성화재해상보험 2,972","167,495"
길정우,배우자,▶ 예금(소계),,"삼성생명보험 23,001, 씨티은행 1,597, 외환은행 2,456","27,054"
길정우,배우자,▶ 유가증권(소계),비상장주식,"영진운수 1,210주, 영진공사 78,400주","398,050"
길정우,본인,▶ 채무(소계),금융기관채무,"하나은행 169,927","169,927"
길정우,부,▶ 고지거부 및 등록제외사항(소계),,고지거부,-
길정우,모,▶ 고지거부 및 등록제외사항(소계),,고지거부,-
길정우,장남,▶ 고지거부 및 등록제외사항(소계),,고지거부,-
김경협,본인,▶ 토지(소계),답,인천광역시 강화군 내가면 고천리 1339-3번지 793.00㎡,"26,962"
김경협,본인,▶ 건물(소계),연립주택,"경기도 부천시 원미구 원미동 대지 1,230.00㎡ 중 44.00㎡ 건물 358.68㎡중 51.24㎡","78,000"
김경협,본인,▶ 건물(소계),연립주택,경기도 시흥시 신천동 대지 225.70㎡ 중 28.21㎡ 건물 131.44㎡ 중58.70㎡,"74,000"
김경협,본인,▶ 건물(소계),아파트전세(임차)권,경기도 부천시 원미구 춘의동 우민늘사랑아파트2차 건물 422.35㎡,"170,000"
김경협,본인,▶ 예금(소계),,"우리은행 5,688, 국민은행 3,864, 한화증권 5,920, 동부화재해상보험2,960","18,432"
김경협,배우자,▶ 예금(소계),,"KB생명보험 3,450, 미래에셋생명보험 16,211","19,661"
김경협,장남,▶ 예금(소계),,"미래에셋생명보험 7,538","7,538"
김경협,차남,▶ 예금(소계),,"미래에셋생명보험 7,538","7,538"
김경협,본인,▶ 유가증권(소계),상장주식,"쎄니트 2,151주, 디지텍시스템스 1,400주","19,846"
김경협,본인,▶ 채무(소계),금융기관채무,"부천제일새마을금고 84,000, 남부천신용협동조합 82,000","166,000"
김경협,본인,▶ 채무(소계),건물임대채무,경기도 시흥시 신천동 정석아트빌,"25,000"
김경협,본인,▶ 채무(소계),건물임대채무,경기도 부천시 원미구 원미동 제비,"6,000"
김관영,본인,▶ 건물(소계),아파트전세(임차)권,전라북도 군산시 수송동 세영리첼아파트 건물 112.00㎡,"140,000"
김관영,본인,▶ 건물(소계),아파트(분양권),서울특별시 영등포구 당산동4가 건물 84.90㎡,"77,900"
김관영,배우자,▶ 건물(소계),아파트전세(임차)권,서울특별시 송파구 잠실2동 잠실엘스아파트 건물 145.20㎡,"100,000"
김관영,배우자,▶ 건물(소계),아파트,경기도 성남시 분당구 백현동 그랑블서해푸르지오아파트 건물 137.73㎡,"816,000"
김관영,본인,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2007년식 그랜져TG38G 배기량(3,800cc)","16,000"
김관영,본인,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2012년식 제네시스 배기량(3,342cc)","16,875"
김관영,본인,▶ 예금(소계),,"외환은행 32,633, 국민은행 18,172, 동양생명보험 25,199, 교보생명보험113,467","189,471"
김관영,배우자,▶ 예금(소계),,"국민은행 4,100","4,100"
김관영,본인,▶ 채권(소계),,사인간채권,"200,000"
김관영,본인,▶ 채무(소계),금융기관채무,"외환은행 85,118, 아주캐피탈 63,563, 하나은행 51,579","200,260"
